Commentary on Four-Part Vinaya,,,Base Text (Four-part Vinaya),,
Word,Count,Freq.,Word,Count,Freq
三千威儀,14,0.0001192628711,六群比丘,966,0.002873722674
索欲問和,10,8.52E-05,式叉摩那,373,0.001109625836
偏袒右肩,9,7.67E-05,少欲知足,363,0.001079877154
十二頭陀,8,6.82E-05,僧伽婆尸沙,318,0.0009460080854
心念口言,7,5.96E-05,六群比丘尼,266,0.0007913149393
未受具人,6,5.11E-05,給孤獨園,266,0.0007913149393
少欲知足,6,5.11E-05,祇樹給孤獨園,266,0.0007913149393
四方僧物,6,5.11E-05,迦留陀夷,172,0.0005116773292
右膝著地,6,5.11E-05,尼薩耆波逸提,161,0.0004789537791
百一供身,6,5.11E-05,白二羯磨,149,0.0004432553607
白二羯磨,5,4.26E-05,右膝著地,148,0.0004402804926
波羅提木叉,5,4.26E-05,白四羯磨,124,0.0003688836559
大界外相,5,4.26E-05,沓婆摩羅子,76,0.0002260899827
波羅提提舍尼,4,3.41E-05,沓婆摩羅,76,0.0002260899827
波利婆沙,4,3.41E-05,十七群比丘,50,0.0001487434096
解脫道論,4,3.41E-05,提婆達多,49,0.0001457685415
僧伽婆尸沙,4,3.41E-05,波羅提提舍尼,44,0.0001308942005
無分別智,3,2.56E-05,慈地比丘,39,0.0001160198595
二百五十戒,3,2.56E-05,式叉迦羅尼,37,0.0001100701231
四事供養,3,2.56E-05,波羅提木叉,34,0.0001011455186
波利迦羅,3,2.56E-05,白一羯磨,30,8.92E-05
摩得勒伽,3,2.56E-05,畢陵伽婆蹉,29,8.63E-05
白四羯磨,3,2.56E-05,摩訶波闍波提,28,8.33E-05
三十捨墮,3,2.56E-05,波闍波提,28,8.33E-05
式叉摩那,3,2.56E-05,波利迦羅,28,8.33E-05
出佛身血,3,2.56E-05,破和合僧,26,7.73E-05
毘尼母論,3,2.56E-05,毘舍佉母,25,7.44E-05
諸惡莫作,3,2.56E-05,八萬四千,22,6.54E-05
五百羅漢,3,2.56E-05,釋提桓因,21,6.25E-05
地水火風,3,2.56E-05,四波羅夷,21,6.25E-05
大小二乘,3,2.56E-05,頭面作禮,20,5.95E-05
五分法身,3,2.56E-05,優波提舍,20,5.95E-05
三歸五戒,3,2.56E-05,迦維羅衛,20,5.95E-05
在家出家,3,2.56E-05,阿羅漢果,18,5.35E-05
僧伽跋摩,2,1.70E-05,須陀洹果,17,5.06E-05
頭面作禮,2,1.70E-05,飲食供養,17,5.06E-05
非色非心,2,1.70E-05,拘睒彌國,16,4.76E-05
羯磨阿闍梨,2,1.70E-05,出佛身血,15,4.46E-05
優婆塞戒,2,1.70E-05,末利夫人,15,4.46E-05
九十六種外道,2,1.70E-05,瞿師羅園,13,3.87E-05
沙彌威儀,2,1.70E-05,千二百五十人,13,3.87E-05
九十單墮,2,1.70E-05,二百五十戒,12,3.57E-05
蓮華色尼,2,1.70E-05,波利婆沙,12,3.57E-05
分別功德論,2,1.70E-05,迦羅比丘,12,3.57E-05
十二因緣,2,1.70E-05,跋闍子比丘,11,3.27E-05
四月八日,2,1.70E-05,分陀利華,10,2.97E-05
轉輪聖王,2,1.70E-05,遠塵離垢,10,2.97E-05
轉法輪日,2,1.70E-05,調御丈夫,10,2.97E-05
地水火風空,2,1.70E-05,不蘭迦葉,10,2.97E-05
息世譏嫌戒,2,1.70E-05,阿那般那,10,2.97E-05
破羯磨僧,2,1.70E-05,伊梨延陀,9,2.68E-05
六群比丘,2,1.70E-05,阿若憍陳如,9,2.68E-05
出家功德經,2,1.70E-05,跋陀迦毘羅,8,2.38E-05
次第乞食,2,1.70E-05,八波羅夷,8,2.38E-05
善來比丘,2,1.70E-05,阿那含果,8,2.38E-05
三世諸佛,2,1.70E-05,斯陀含果,8,2.38E-05
三解脫門,2,1.70E-05,轉輪聖王,8,2.38E-05
二十五條,2,1.70E-05,差摩比丘,8,2.38E-05
五百問事,2,1.70E-05,那提迦葉,8,2.38E-05
依止阿闍梨,2,1.70E-05,無住處村,8,2.38E-05
四波羅夷,2,1.70E-05,勿力伽難提,7,2.08E-05
行住坐臥,1,8.52E-06,有想無想,7,2.08E-05
色空外道,1,8.52E-06,閻浮檀金,7,2.08E-05
拔苦與樂,1,8.52E-06,裸形外道,7,2.08E-05
沙彌戒經,1,8.52E-06,優陀延王,7,2.08E-05
般泥洹經,1,8.52E-06,拘睒彌主,7,2.08E-05
智慧念佛,1,8.52E-06,大迦旃延,6,1.78E-05
無餘涅槃,1,8.52E-06,伊羅鉢龍王,6,1.78E-05
式叉迦羅尼,1,8.52E-06,摩訶迦葉,6,1.78E-05
百一眾具,1,8.52E-06,如意寶珠,6,1.78E-05
神我外道,1,8.52E-06,拘那含牟尼,5,1.49E-05
八波羅夷,1,8.52E-06,摩醯首羅,5,1.49E-05
邪命說法,1,8.52E-06,螺髻梵志,5,1.49E-05
轉輪高座,1,8.52E-06,受想行識,5,1.49E-05
薩婆多部,1,8.52E-06,伽耶迦葉,5,1.49E-05
入王宮聚落衣,1,8.52E-06,火光三昧,4,1.19E-05
非時食戒,1,8.52E-06,羅漢比丘,4,1.19E-05
觀察正行,1,8.52E-06,生老病死,4,1.19E-05
三千大千世界,1,8.52E-06,無上法輪,4,1.19E-05
香為佛使,1,8.52E-06,解脫知見,4,1.19E-05
僧祇戒本,1,8.52E-06,諸惡莫作,4,1.19E-05
尸迦羅越六方禮經,1,8.52E-06,結跏趺坐,4,1.19E-05
一切智藏,1,8.52E-06,偏袒右肩,4,1.19E-05
八十四法,1,8.52E-06,斷畜生命,4,1.19E-05
常住二字,1,8.52E-06,摩頭鳩羅,4,1.19E-05
請賓頭盧,1,8.52E-06,無餘涅槃,3,8.92E-06
付法藏傳,1,8.52E-06,大婆羅門,3,8.92E-06
乞食十利,1,8.52E-06,心念口言,3,8.92E-06
十方世界,1,8.52E-06,迦蘭陀村,3,8.92E-06
住持三寶,1,8.52E-06,優鉢羅華,3,8.92E-06
舍利弗問經,1,8.52E-06,翅舍欽婆羅,3,8.92E-06
第一義諦,1,8.52E-06,千輻輪相,3,8.92E-06
無因果外道,1,8.52E-06,布薩犍度,3,8.92E-06
小妄語戒,1,8.52E-06,不增不減,3,8.92E-06
十二部經,1,8.52E-06,去此不遠,3,8.92E-06
驅烏沙彌,1,8.52E-06,三種淨肉,3,8.92E-06
唯識無境,1,8.52E-06,象力比丘,3,8.92E-06
多陀阿伽度,1,8.52E-06,善來比丘,3,8.92E-06
正法念經,1,8.52E-06,失守摩羅,3,8.92E-06
波羅夜質胝柯,1,8.52E-06,四方僧物,3,8.92E-06
自餓外道,1,8.52E-06,依止阿闍梨,3,8.92E-06
常住僧物,1,8.52E-06,拘留孫佛,3,8.92E-06
供養第一,1,8.52E-06,阿修羅宮,3,8.92E-06
無上菩提,1,8.52E-06,差羅波尼,2,5.95E-06
月燈三昧,1,8.52E-06,阿浮呵那,2,5.95E-06
地水火風空識,1,8.52E-06,提頭賴吒,2,5.95E-06
化制二教,1,8.52E-06,供養第一,2,5.95E-06
優婆提舍,1,8.52E-06,教授阿闍梨,2,5.95E-06
生老病死,1,8.52E-06,十二因緣論,2,5.95E-06
求那跋摩,1,8.52E-06,受戒阿闍梨,2,5.95E-06
教授阿闍梨,1,8.52E-06,空無相無願,2,5.95E-06
